               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.034989,            0.042184,           0.0042956,             0.73603,             0.83946,             0.80436,             0.45104,            0.034442,            0.042769,           0.0080724,           0.0015373,           0.0015373,           0.0015373
                  61,            0.035946,            0.049505,           0.0047063,             0.85491,             0.72857,             0.80385,              0.4598,            0.034808,            0.044278,           0.0076695,           0.0014456,           0.0014456,           0.0014456
                  62,            0.035851,            0.042334,           0.0033669,              0.8567,             0.73482,             0.80542,             0.47947,            0.035187,            0.044909,           0.0076961,           0.0013621,           0.0013621,           0.0013621
                  63,            0.036041,            0.042306,           0.0038533,             0.85294,             0.72826,             0.80494,             0.46096,            0.035132,            0.045372,           0.0075243,           0.0012869,           0.0012869,           0.0012869
                  64,            0.034498,            0.043547,           0.0032251,             0.77718,             0.83623,             0.80638,             0.45924,            0.035341,            0.045312,           0.0073724,           0.0012202,           0.0012202,           0.0012202
                  65,            0.037716,            0.047347,           0.0034797,             0.76015,             0.84504,             0.81689,             0.46291,            0.035118,            0.045352,           0.0071992,           0.0011622,           0.0011622,           0.0011622
                  66,            0.035817,            0.048488,           0.0034046,             0.77243,             0.84505,             0.81951,             0.46156,            0.035219,             0.04445,            0.007347,           0.0011128,           0.0011128,           0.0011128
                  67,            0.036415,            0.049119,           0.0043961,             0.86898,             0.84505,             0.84079,             0.46279,            0.035341,            0.043846,           0.0074075,           0.0010723,           0.0010723,           0.0010723
                  68,            0.034899,            0.044445,           0.0035154,             0.87501,             0.84505,             0.84079,             0.46593,            0.035118,            0.043005,           0.0074629,           0.0010407,           0.0010407,           0.0010407
                  69,            0.036496,            0.042936,           0.0041681,             0.88471,             0.84505,             0.84075,             0.47752,            0.035004,            0.043675,           0.0074708,           0.0010181,           0.0010181,           0.0010181
